Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 05:33:00,5978.75,5978.75,5977.5,5977.75,183,1.25,88.2,90,5974.46,84.6,89.1,90.7,89.6,58.4,46,1.929
31/12/2024 05:34:00,5977.75,5978,5976.5,5977.5,162,1.5,84.8,87.4,5974.5,80.8,84.9,88.4,89.1,61.6,48.9,1.714
31/12/2024 05:35:00,5977.5,5978,5977.25,5977.5,130,0.75,84.8,86.1,5974.47,79.2,82,88.4,88.8,64.5,51.7,1.661
31/12/2024 05:36:00,5977.5,5978.75,5977,5978.5,144,1.75,96.6,91.3,5974.53,95.2,88.6,97.7,92.4,68.4,54.7,1.625
31/12/2024 05:37:00,5978.5,5978.75,5977.5,5978,156,1.25,88.5,89.9,5974.58,85.7,87.2,93,92.6,70.8,57.7,1.607
31/12/2024 05:38:00,5978,5978.75,5978,5978.75,135,0.75,100,95,5974.69,100,93.6,100,95.6,73.9,60.6,1.5
31/12/2024 05:39:00,5978.5,5979.25,5978.25,5979,377,1,96.4,95.7,5974.99,94.7,94.2,97.8,96.5,76.8,63.6,1.375
31/12/2024 05:40:00,5979,5979.75,5978.5,5979.75,347,1.25,100,97.8,5975.98,100,97.1,100,97.9,80.3,66.6,1.375
31/12/2024 05:41:00,5979.75,5980,5979,5979.25,217,1,88.5,93.2,5976.37,78.6,87.8,93.8,96.2,82.4,69.5,1.321
31/12/2024 05:42:00,5979.5,5979.5,5978.25,5978.5,153,1.25,76.9,85,5976.78,57.1,72.5,87.5,92.7,83,71.9,1.321
31/12/2024 05:43:00,5978.5,5978.5,5976.75,5976.75,168,1.75,50,67.5,5977,,36.2,72.9,84.8,81.1,73.6,1.393
31/12/2024 05:44:00,5977,5977.5,5976.5,5977.25,161,1,50,58.8,5977.17,21.4,28.8,77.1,81.7,80.4,74.8,1.357
31/12/2024 05:45:00,5977.5,5977.5,5975,5976.25,464,2.5,25,41.9,5977.3,25,26.9,68.8,76.5,78.3,75.5,1.321
